player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
Luka Dončić,26.0,LAL,PG,36.0,36.0,36.4,10.4,22.4,0.467,3.4,10.2,0.334,7.0,12.2,0.578,0.543,9.1,11.5,0.79,0.9,6.9,7.8,8.7,1.6,0.5,4.3,2.7,33.4,0.9277777777777777,0.9175824175824175
Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,33.4,11.1,19.9,0.557,1.9,4.8,0.396,9.2,15.1,0.608,0.605,8.3,9.2,0.894,0.5,3.9,4.4,6.2,1.3,0.8,2.0,2.0,32.3,0.734090909090909,0.967065868263473
Tyrese Maxey,25.0,PHI,PG,42.0,42.0,39.5,10.5,22.3,0.472,3.5,8.9,0.392,7.0,13.4,0.526,0.551,5.3,6.0,0.882,0.3,4.0,4.3,6.8,2.1,1.0,2.5,2.1,29.9,0.7119047619047618,0.7569620253164556
Jaylen Brown,29.0,BOS,SF,42.0,42.0,34.5,10.9,22.6,0.484,2.2,6.0,0.362,8.7,16.5,0.528,0.532,5.8,7.4,0.781,1.3,5.5,6.8,4.9,1.0,0.4,3.7,2.9,29.8,0.7095238095238096,0.863768115942029
Anthony Edwards,24.0,MIN,SG,36.0,36.0,35.2,10.2,20.7,0.495,3.5,8.6,0.406,6.8,12.1,0.557,0.579,5.7,7.2,0.795,0.6,4.4,5.1,3.7,1.3,0.8,2.6,2.0,29.6,0.8222222222222223,0.8409090909090908
Nikola Jokić,30.0,DEN,C,32.0,32.0,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,0.925,0.8554913294797688
Donovan Mitchell,29.0,CLE,SG,43.0,43.0,34.2,10.1,21.0,0.482,3.8,9.9,0.38,6.3,11.1,0.574,0.572,5.1,6.1,0.84,0.9,3.9,4.8,5.8,1.5,0.2,3.1,2.5,29.1,0.6767441860465117,0.8508771929824561
Kawhi Leonard,34.0,LAC,SF,31.0,31.0,33.5,9.7,19.5,0.497,2.9,7.3,0.4,6.8,12.3,0.554,0.571,5.8,6.1,0.942,0.9,5.3,6.2,3.5,2.2,0.6,2.1,1.4,28.1,0.9064516129032258,0.8388059701492537
Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,0.9333333333333333,0.9589041095890412
Jalen Brunson,29.0,NYK,PG,40.0,39.0,34.5,10.0,21.0,0.477,3.0,7.8,0.384,7.0,13.2,0.532,0.548,5.0,5.9,0.847,0.5,2.7,3.2,6.1,0.7,0.1,2.3,2.5,28.0,0.7,0.8115942028985508
Lauri Markkanen,28.0,UTA,PF,33.0,33.0,36.0,9.5,19.7,0.483,2.9,8.0,0.365,6.6,11.7,0.563,0.557,6.0,6.8,0.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,27.9,0.8454545454545455,0.7749999999999999
Stephen Curry,37.0,GSW,PG,36.0,36.0,31.7,9.1,19.3,0.47,4.6,11.6,0.392,4.5,7.7,0.586,0.588,4.6,5.0,0.928,0.4,3.3,3.7,4.9,1.1,0.4,2.8,2.0,27.4,0.7611111111111111,0.8643533123028391
Austin Reaves,27.0,LAL,SG,23.0,22.0,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,1.1565217391304348,0.7535410764872522
Kevin Durant,37.0,HOU,SF,41.0,41.0,36.9,9.2,17.9,0.516,2.3,5.7,0.406,6.9,12.2,0.567,0.58,5.5,6.2,0.885,0.4,5.0,5.5,4.6,0.7,1.0,3.1,2.1,26.3,0.6414634146341464,0.7127371273712737
Deni Avdija,25.0,POR,SF,42.0,42.0,34.9,7.9,16.8,0.471,2.3,6.4,0.356,5.6,10.4,0.542,0.539,7.9,9.8,0.807,1.0,6.0,7.1,6.9,0.8,0.6,3.9,2.7,26.0,0.6190476190476191,0.7449856733524356
Jamal Murray,28.0,DEN,PG,41.0,41.0,35.4,9.3,18.9,0.49,3.4,7.5,0.448,5.9,11.4,0.518,0.579,4.0,4.5,0.892,0.4,3.9,4.3,7.3,1.0,0.3,2.4,1.6,26.0,0.6341463414634146,0.7344632768361582
James Harden,36.0,LAC,PG,41.0,41.0,35.7,7.5,17.9,0.419,3.0,8.9,0.342,4.4,8.9,0.497,0.505,7.8,8.7,0.899,0.6,4.2,4.8,8.1,1.3,0.3,3.7,1.9,25.8,0.6292682926829268,0.7226890756302521
Devin Booker,29.0,PHO,SG,41.0,41.0,34.0,8.4,18.4,0.456,1.7,5.5,0.313,6.7,12.9,0.517,0.503,7.0,8.0,0.864,0.8,3.2,4.0,6.2,0.9,0.3,3.3,2.6,25.4,0.6195121951219512,0.7470588235294118
Michael Porter Jr.,27.0,BRK,SF,35.0,34.0,33.2,9.0,18.7,0.481,3.8,9.6,0.394,5.2,9.1,0.572,0.582,3.7,4.3,0.849,1.3,6.1,7.4,3.2,1.0,0.2,2.5,2.1,25.4,0.7257142857142856,0.7650602409638553
Cade Cunningham,24.0,DET,PG,37.0,37.0,35.5,8.8,19.4,0.451,1.9,5.9,0.321,6.9,13.5,0.508,0.5,5.9,7.2,0.823,1.0,4.8,5.8,9.7,1.5,0.8,3.9,3.3,25.3,0.6837837837837838,0.7126760563380282
Joel Embiid,31.0,PHI,C,25.0,25.0,30.6,8.4,17.4,0.486,1.1,4.0,0.28,7.3,13.4,0.548,0.518,7.1,8.3,0.855,2.1,5.3,7.4,3.6,0.6,1.1,3.1,2.0,25.1,1.004,0.8202614379084967
Victor Wembanyama,22.0,SAS,C,31.0,22.0,28.8,8.5,16.6,0.51,1.9,4.8,0.389,6.6,11.8,0.559,0.566,5.7,6.7,0.846,2.0,8.9,10.9,2.9,0.8,2.6,2.7,2.8,24.5,0.7903225806451613,0.8506944444444444
Keyonte George,22.0,UTA,PG,45.0,45.0,34.4,7.6,16.7,0.455,2.6,6.9,0.373,5.0,9.8,0.514,0.533,6.5,7.2,0.904,0.5,3.4,3.9,6.6,1.1,0.3,3.4,2.4,24.2,0.5377777777777778,0.7034883720930233
Pascal Siakam,31.0,IND,PF,44.0,44.0,33.9,8.9,18.5,0.483,1.9,4.8,0.385,7.1,13.7,0.517,0.533,4.0,6.0,0.677,1.6,5.3,6.9,4.0,1.1,0.4,2.2,2.6,23.8,0.5409090909090909,0.7020648967551623
Norman Powell,32.0,MIA,SG,40.0,40.0,30.7,7.8,16.2,0.481,2.9,7.3,0.4,4.9,8.9,0.546,0.57,4.8,5.7,0.838,0.3,3.3,3.6,2.7,1.2,0.2,1.9,2.2,23.3,0.5825,0.758957654723127
Jalen Johnson,24.0,ATL,SF,43.0,43.0,35.6,8.6,16.9,0.512,1.6,4.6,0.357,7.0,12.3,0.569,0.56,4.3,5.5,0.78,1.5,9.0,10.5,8.0,1.2,0.5,3.5,2.0,23.2,0.5395348837209302,0.6516853932584269
Julius Randle,31.0,MIN,PF,45.0,45.0,33.6,7.8,15.8,0.494,1.6,4.7,0.34,6.2,11.1,0.559,0.544,5.4,6.6,0.811,1.7,5.3,7.0,5.4,1.1,0.2,2.6,2.8,22.6,0.5022222222222222,0.6726190476190477
LeBron James,41.0,LAL,SF,27.0,27.0,33.4,8.3,16.3,0.508,1.6,4.7,0.331,6.7,11.6,0.58,0.556,4.1,5.6,0.742,0.7,5.3,6.0,6.9,1.1,0.7,2.8,1.4,22.3,0.825925925925926,0.6676646706586827
Trey Murphy III,25.0,NOP,SF,43.0,43.0,35.7,7.8,15.8,0.494,3.1,8.1,0.381,4.7,7.7,0.614,0.592,3.6,4.0,0.906,1.1,4.9,6.0,3.6,1.6,0.3,1.9,2.1,22.3,0.5186046511627908,0.6246498599439776
Franz Wagner,24.0,ORL,SF,26.0,26.0,32.8,7.6,15.8,0.482,1.5,4.1,0.368,6.1,11.7,0.521,0.529,5.5,6.6,0.826,1.6,4.5,6.1,3.6,1.1,0.3,1.8,2.3,22.2,0.8538461538461538,0.676829268292683
Zion Williamson,25.0,NOP,PF,31.0,24.0,28.9,8.2,14.1,0.58,0.0,0.1,0.0,8.2,14.0,0.584,0.58,5.6,8.1,0.694,2.2,3.7,5.9,3.4,1.2,0.6,2.3,2.3,22.0,0.7096774193548387,0.7612456747404844
Tyler Herro,26.0,MIA,SG,11.0,10.0,31.7,8.2,16.5,0.497,2.2,6.1,0.358,6.0,10.4,0.579,0.564,3.4,3.7,0.902,0.5,4.2,4.7,2.7,1.0,0.5,1.5,2.0,21.9,1.9909090909090907,0.6908517350157728
Shaedon Sharpe,22.0,POR,SG,42.0,36.0,30.1,8.2,18.1,0.455,2.1,6.1,0.339,6.2,12.0,0.515,0.513,3.3,4.3,0.777,1.1,3.5,4.6,2.7,1.5,0.1,3.1,2.0,21.9,0.5214285714285714,0.7275747508305647
Brandon Ingram,28.0,TOR,SF,45.0,45.0,34.0,8.1,17.1,0.471,1.8,5.0,0.362,6.3,12.2,0.516,0.523,3.8,4.6,0.834,0.8,5.1,6.0,3.8,0.8,0.8,2.7,1.9,21.7,0.4822222222222222,0.638235294117647
Alperen Şengün,23.0,HOU,C,36.0,36.0,34.2,8.2,16.2,0.508,0.6,2.1,0.299,7.6,14.1,0.54,0.527,4.1,6.0,0.693,2.8,6.2,9.0,6.4,1.5,1.0,3.3,3.2,21.2,0.5888888888888889,0.6198830409356725
Paolo Banchero,23.0,ORL,PF,34.0,34.0,33.9,7.1,15.6,0.455,1.1,3.8,0.287,6.0,11.8,0.509,0.49,5.9,7.7,0.763,1.0,7.6,8.6,4.9,0.7,0.6,2.9,2.1,21.1,0.6205882352941177,0.6224188790560473
De'Aaron Fox,28.0,SAS,PG,36.0,36.0,32.5,7.5,15.7,0.479,2.1,6.0,0.355,5.4,9.7,0.556,0.547,3.3,4.1,0.797,0.7,3.5,4.2,5.9,1.3,0.3,2.4,2.3,20.5,0.5694444444444444,0.6307692307692307
Karl-Anthony Towns,30.0,NYK,C,42.0,41.0,31.6,6.7,14.2,0.469,1.7,4.6,0.364,5.0,9.6,0.52,0.528,5.5,6.5,0.856,2.9,8.5,11.4,2.9,0.9,0.7,2.6,3.7,20.5,0.4880952380952381,0.6487341772151899
Anthony Davis,32.0,DAL,PF,20.0,20.0,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8.0,14.9,0.535,0.521,3.0,4.1,0.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,1.02,0.6517571884984025
Nickeil Alexander-Walker,27.0,ATL,SG,45.0,38.0,32.9,6.9,15.7,0.442,3.1,8.1,0.379,3.9,7.6,0.509,0.54,3.4,3.8,0.873,0.6,2.9,3.5,3.5,1.1,0.6,2.0,2.1,20.3,0.45111111111111113,0.6170212765957447
Dillon Brooks,30.0,PHO,SF,39.0,39.0,30.8,7.4,17.0,0.435,2.4,7.1,0.344,4.9,9.9,0.5,0.507,3.0,3.5,0.855,0.7,2.8,3.5,1.7,1.1,0.1,1.9,3.4,20.2,0.5179487179487179,0.6558441558441558
Jimmy Butler,36.0,GSW,SF,38.0,38.0,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,0.5263157894736842,0.6430868167202572
Brandon Miller,23.0,CHO,SF,29.0,29.0,30.1,7.0,16.6,0.424,2.8,7.9,0.358,4.2,8.7,0.484,0.509,3.1,3.7,0.85,1.1,3.3,4.4,3.5,1.0,0.9,2.7,2.8,20.0,0.6896551724137931,0.6644518272425249
Scottie Barnes,24.0,TOR,PF,46.0,46.0,34.6,7.7,15.3,0.501,1.0,3.2,0.315,6.7,12.2,0.55,0.534,3.3,4.0,0.826,2.2,6.1,8.2,5.5,1.3,1.4,2.7,2.8,19.7,0.42826086956521736,0.569364161849711
Zach LaVine,30.0,SAC,SG,34.0,33.0,32.2,6.9,14.1,0.486,2.7,6.7,0.399,4.2,7.4,0.565,0.581,3.0,3.5,0.866,0.2,2.6,2.8,2.3,0.7,0.3,2.0,2.1,19.5,0.5735294117647058,0.6055900621118012
Ja Morant,26.0,MEM,PG,20.0,20.0,28.5,6.6,16.1,0.41,1.0,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,0.975,0.6842105263157895
LaMelo Ball,24.0,CHO,PG,36.0,33.0,27.4,6.8,16.7,0.407,3.3,9.2,0.361,3.5,7.5,0.463,0.507,2.4,2.7,0.885,0.9,4.1,5.0,7.6,1.2,0.3,3.1,2.7,19.3,0.5361111111111111,0.7043795620437957
Trae Young,27.0,ATL,PG,10.0,10.0,28.0,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,1.9300000000000002,0.6892857142857143
RJ Barrett,25.0,TOR,SF,24.0,24.0,30.0,7.2,14.5,0.494,1.8,5.4,0.341,5.3,9.1,0.584,0.557,3.0,4.5,0.682,0.8,4.3,5.1,3.6,0.8,0.2,1.6,2.4,19.2,0.7999999999999999,0.64
Jerami Grant,31.0,POR,PF,30.0,14.0,29.4,5.7,13.3,0.432,2.3,6.2,0.378,3.4,7.1,0.479,0.52,5.4,6.4,0.853,1.0,2.7,3.7,2.5,0.7,0.7,2.2,2.8,19.2,0.64,0.653061224489796
Desmond Bane,27.0,ORL,SG,44.0,44.0,34.0,6.9,15.2,0.453,1.7,5.0,0.339,5.2,10.3,0.508,0.508,3.5,3.7,0.933,1.3,3.2,4.5,4.5,0.8,0.5,2.2,3.0,18.9,0.4295454545454545,0.5558823529411764
DeMar DeRozan,36.0,SAC,PF,46.0,46.0,33.5,6.7,13.3,0.506,0.7,2.1,0.354,6.0,11.2,0.534,0.534,4.7,5.4,0.874,0.5,2.8,3.3,3.9,1.4,0.2,1.1,2.1,18.9,0.41086956521739126,0.5641791044776119
Jaren Jackson Jr.,26.0,MEM,C,41.0,41.0,30.5,7.0,14.6,0.479,1.7,4.6,0.363,5.3,9.9,0.533,0.537,3.3,4.2,0.779,0.9,4.8,5.7,1.9,0.9,1.5,2.3,3.8,18.9,0.4609756097560975,0.6196721311475409
Kon Knueppel,20.0,CHO,SF,45.0,44.0,32.2,6.6,13.6,0.481,3.3,7.8,0.422,3.2,5.8,0.562,0.603,2.5,2.8,0.895,1.2,4.3,5.5,3.5,0.7,0.2,2.2,2.3,18.9,0.42,0.5869565217391304
Cooper Flagg,19.0,DAL,SF,43.0,43.0,33.8,7.2,15.2,0.473,1.0,3.5,0.28,6.2,11.7,0.531,0.505,3.4,4.3,0.795,1.2,5.2,6.4,4.1,1.3,0.7,2.2,2.3,18.8,0.4372093023255814,0.5562130177514794
Josh Giddey,23.0,CHI,PG,32.0,30.0,32.3,6.5,14.0,0.464,1.8,4.7,0.373,4.8,9.3,0.51,0.527,4.1,5.3,0.765,1.2,7.7,8.8,8.9,0.9,0.3,3.6,1.7,18.8,0.5875,0.5820433436532508
Coby White,25.0,CHI,SG,24.0,21.0,28.7,6.1,13.5,0.451,2.6,7.1,0.363,3.5,6.4,0.549,0.546,4.1,5.1,0.797,0.3,3.2,3.5,4.7,0.7,0.1,3.1,2.3,18.8,0.7833333333333333,0.6550522648083624
Miles Bridges,27.0,CHO,PF,45.0,45.0,32.7,6.6,14.9,0.445,2.2,6.7,0.334,4.4,8.2,0.535,0.52,3.2,3.8,0.832,1.0,5.2,6.2,3.5,0.5,0.5,1.4,1.8,18.7,0.41555555555555557,0.5718654434250764
CJ McCollum,34.0,2TM,PG,42.0,36.0,30.2,6.8,15.1,0.45,2.5,6.7,0.376,4.3,8.4,0.51,0.534,2.4,3.1,0.771,0.6,2.7,3.4,3.6,0.7,0.3,1.6,2.0,18.5,0.44047619047619047,0.6125827814569537
CJ McCollum,34.0,WAS,SG,35.0,35.0,30.9,6.9,15.1,0.454,2.7,7.0,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,0.5371428571428571,0.6084142394822007
CJ McCollum,34.0,ATL,PG,7.0,1.0,26.7,6.6,15.1,0.434,1.4,5.4,0.263,5.1,9.7,0.529,0.481,2.7,4.1,0.655,0.6,2.0,2.6,3.4,0.7,0.7,1.6,1.6,17.3,2.4714285714285715,0.6479400749063671
Amen Thompson,23.0,HOU,PG,43.0,43.0,37.3,7.1,13.8,0.513,0.4,1.9,0.195,6.7,11.9,0.564,0.527,3.8,4.8,0.797,2.8,4.9,7.7,5.2,1.4,0.6,2.5,2.3,18.4,0.42790697674418604,0.4932975871313673
Darius Garland,26.0,CLE,PG,26.0,26.0,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3.0,0.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,0.6923076923076923,0.5901639344262295
Chet Holmgren,23.0,OKC,PF,40.0,40.0,29.2,6.8,11.8,0.572,1.4,3.7,0.384,5.4,8.2,0.656,0.631,3.1,4.0,0.77,1.8,6.8,8.6,1.6,0.6,2.0,1.7,2.7,18.0,0.45,0.6164383561643836
Evan Mobley,24.0,CLE,PF,41.0,39.0,33.3,6.9,13.5,0.511,1.1,3.8,0.303,5.7,9.7,0.592,0.553,3.0,4.6,0.644,2.3,6.4,8.8,4.1,0.9,2.0,2.1,2.5,17.9,0.4365853658536585,0.5375375375375375
Bam Adebayo,28.0,MIA,C,38.0,38.0,30.9,6.4,14.4,0.449,1.6,4.5,0.353,4.9,9.9,0.492,0.504,3.3,4.3,0.784,2.1,7.7,9.7,2.8,0.9,0.8,1.8,1.7,17.8,0.46842105263157896,0.5760517799352751
Jalen Duren,22.0,DET,C,36.0,36.0,28.3,7.0,11.2,0.627,0.0,0.0,0.0,7.0,11.2,0.627,0.627,3.8,5.3,0.723,3.9,6.8,10.8,1.8,0.9,0.9,2.1,3.1,17.8,0.49444444444444446,0.6289752650176679
Bennedict Mathurin,23.0,IND,SF,24.0,24.0,32.2,5.6,13.2,0.423,2.2,6.0,0.366,3.4,7.2,0.471,0.506,4.4,5.0,0.876,0.8,4.7,5.5,2.2,0.7,0.2,2.4,2.9,17.8,0.7416666666666667,0.5527950310559006
Aaron Gordon,30.0,DEN,PF,23.0,20.0,27.9,6.0,11.9,0.509,1.8,4.6,0.4,4.2,7.3,0.577,0.586,3.7,4.7,0.789,1.3,4.9,6.2,2.5,0.7,0.2,1.0,1.7,17.7,0.7695652173913043,0.6344086021505376
Andrew Nembhard,26.0,IND,PG,36.0,36.0,32.0,6.2,13.8,0.451,1.9,5.1,0.364,4.3,8.6,0.502,0.518,3.4,4.2,0.815,0.4,2.3,2.8,7.3,0.9,0.1,2.4,2.2,17.7,0.49166666666666664,0.553125
Derrick White,31.0,BOS,SG,43.0,43.0,34.2,6.0,15.5,0.388,2.9,9.1,0.321,3.1,6.4,0.484,0.483,2.6,2.9,0.888,1.0,3.6,4.6,5.4,1.3,1.5,1.8,1.7,17.6,0.4093023255813954,0.5146198830409356
Alex Sarr,20.0,WAS,C,35.0,35.0,28.3,7.0,13.9,0.505,0.9,2.7,0.344,6.1,11.1,0.545,0.539,2.4,3.4,0.708,2.1,5.2,7.3,2.7,0.8,2.1,1.7,2.0,17.4,0.4971428571428571,0.6148409893992932
Kristaps Porziņģis,30.0,ATL,C,17.0,12.0,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4.0,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,1.0058823529411764,0.7037037037037037
Immanuel Quickley,26.0,TOR,PG,44.0,44.0,32.6,5.9,13.4,0.439,2.5,7.0,0.36,3.4,6.4,0.525,0.533,2.7,3.3,0.814,0.5,3.7,4.3,6.3,1.2,0.1,1.7,2.0,17.0,0.38636363636363635,0.5214723926380368
Stephon Castle,21.0,SAS,PG,36.0,36.0,31.0,5.6,12.5,0.451,1.1,3.9,0.282,4.5,8.6,0.529,0.496,4.5,6.3,0.721,1.2,3.9,5.0,7.1,1.3,0.3,3.5,3.5,16.9,0.4694444444444444,0.5451612903225806
Kevin Porter Jr.,25.0,MIL,PG,23.0,22.0,33.6,5.8,13.0,0.443,1.7,4.6,0.358,4.1,8.4,0.49,0.507,3.6,4.2,0.845,0.7,4.3,5.0,7.4,2.1,0.4,3.3,2.1,16.8,0.7304347826086957,0.5
Nikola Vučević,35.0,CHI,C,44.0,44.0,30.8,7.0,13.7,0.507,1.8,4.6,0.379,5.2,9.1,0.573,0.571,1.2,1.4,0.81,2.1,7.0,9.1,3.8,0.7,0.7,1.4,2.0,16.8,0.38181818181818183,0.5454545454545454
Jalen Williams,24.0,OKC,SG,24.0,24.0,29.6,6.6,14.0,0.47,0.8,2.5,0.3,5.8,11.5,0.507,0.497,2.9,3.5,0.833,0.7,4.1,4.8,5.6,1.3,0.4,2.0,2.1,16.8,0.7000000000000001,0.5675675675675675
Payton Pritchard,28.0,BOS,PG,44.0,44.0,32.8,6.3,13.9,0.45,2.5,7.3,0.344,3.8,6.6,0.567,0.54,1.7,1.9,0.869,1.0,3.4,4.4,5.4,0.8,0.1,1.1,1.5,16.7,0.3795454545454545,0.5091463414634146
Grayson Allen,30.0,PHO,SG,28.0,19.0,29.5,5.5,13.0,0.422,3.3,8.9,0.375,2.2,4.2,0.521,0.549,1.9,2.3,0.831,0.6,2.3,2.9,3.8,1.6,0.3,1.6,2.4,16.3,0.5821428571428572,0.552542372881356
Onyeka Okongwu,25.0,ATL,C,45.0,34.0,32.1,6.1,12.6,0.484,2.0,5.4,0.369,4.1,7.2,0.571,0.564,2.2,2.8,0.782,1.9,6.0,7.9,3.4,1.2,1.0,2.0,3.5,16.3,0.3622222222222222,0.5077881619937694
Cam Thomas,24.0,BRK,SG,20.0,8.0,24.3,5.3,13.3,0.395,1.7,5.0,0.333,3.6,8.4,0.431,0.457,4.0,4.7,0.851,0.4,1.4,1.8,3.1,0.2,0.1,1.9,1.5,16.2,0.8099999999999999,0.6666666666666666
Ryan Rollins,23.0,MIL,PG,44.0,39.0,31.6,6.2,13.4,0.459,2.3,5.8,0.392,3.9,7.6,0.509,0.543,1.5,2.0,0.764,0.8,3.6,4.5,5.4,1.5,0.4,2.3,2.8,16.1,0.36590909090909096,0.509493670886076
Domantas Sabonis,29.0,SAC,C,15.0,11.0,30.3,6.2,11.7,0.528,0.3,1.6,0.208,5.9,10.1,0.579,0.543,3.3,4.4,0.742,3.0,8.7,11.7,3.8,1.0,0.2,2.8,3.7,16.0,1.0666666666666667,0.528052805280528
